seq,title,url,image_url,ingredients_text,steps_text,tags,publish_date
C01-0267,【食譜】黑糖糕:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0267,https://d3l76hx23vw40a.cloudfront.net/recipe/yb33-017.jpg,【材　料】、低筋麵粉:500公克、小蘇打:20公克、奶粉:50公克、全蛋:700公克、黑糖蜜:400公克、蜂蜜:100公克、橄欖油:200公克,"1. 1.低筋麵粉、小蘇打、奶粉過篩備用。
2. 2.全蛋打散，依序加入黑糖蜜、蜂蜜一同拌勻，再加入作法1拌勻成麵糊。
3. 3.取部份作法2的麵糊，加入橄欖油中拌勻，再加入剩餘麵糊一同拌勻。
4. 4.將作法3裝入模型中，移入蒸籠，先以中大火蒸約10分鐘後，再轉小火蒸約35分鐘即可。",,
C01-0608,【食譜】輕乳酪蛋糕(2):www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0608,https://d3l76hx23vw40a.cloudfront.net/recipe/m160.jpg,【材　料】、奶油乳酪:200公克、牛奶:100公克、奶油:60公克、玉米粉:20公克、低筋麵粉:25公克、蛋黃:5個、蛋白:5個、細砂糖:110公克,"1. 1.先準備容器把奶油乳酪與牛奶混和後，用鍋子隔水加熱方式開小火來糊化起士牛奶，這時把玉米粉加低筋麵粉過篩，之後把糊化中的起士加入奶油持續攪拌，之後再加入蛋黃這時要趕快攪拌才不會熟,最後把過篩的麵粉一直攪拌均勻糊化即可。
2. 2.再來準備烤模，在底部鋪上白報紙，準備調理盆倒入蛋白用攪拌機中速攪拌蓬鬆後，分兩次加糖攪拌，打到呈現濕性發泡即可，再把打完的蛋白取適量加入糊化的起士中攪拌均勻，攪拌後再倒回打完的蛋白中再攪拌，這樣就可以倒入烤模中約8分滿。
3. 3.準備烤盤後，加水再放入烤模即可送進烤箱，烤箱溫度１６０∼１７０度烤熟，烤焙約50~60分鐘即可即可，烤熟後倒出裝盤這樣就完成好吃的輕乳酪蛋糕。",,
C01-0541,【食譜】皮蛋地瓜葉:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0541,https://d3l76hx23vw40a.cloudfront.net/recipe/bk186-036b.jpg,【材　料】、皮蛋:2顆、地瓜葉:300公克、水:50㏄、【調 味 料】、鹽:1/4茶匙 雞粉 1/8茶匙、雞粉:1/8茶匙,"1. 1.皮蛋放入滾水中煮約5分鐘，待涼後去殼、切丁，備用。
2. 2.地瓜葉洗淨，切去老莖、切段，備用。
3. 3.熱鍋，加入2大匙沙拉油，放入作法2地瓜葉、水炒軟，再加入調味料、作法1皮蛋丁炒勻即可。",,
C01-0353,【食譜】千層蛋糕:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0353,https://d3l76hx23vw40a.cloudfront.net/recipe/qk11-036.jpg,【材　料】、A.全蛋:545公克、細砂糖:272公克、蜂蜜:68公克、鹽:3公克、B.低筋麵粉:245公克、玉米粉:27公克、C.奶水:177公克、沙拉油:163公克、C.奶油霜:適量,"1. 1.材料A放入攪拌缸中以高速拌打至蛋液體積變大、顏色變白、有明顯紋路，再轉至中速拌打至以橡皮刮刀拉起發泡的蛋液時，發泡的蛋液約2~3秒滴落1次。
2. 2.材料B一起過篩2次，加入作法1的攪拌缸中拌勻成麵糊。
3. 3.材料C混合，取少許作法2的麵糊加入拌勻，使其濃稠度相近，再倒入剩餘的作法2的麵糊中拌勻。
4. 4.將作法3的麵糊均分為6份；烤盤鋪上白報紙，備用。
5. 5.取1份作法4麵糊倒入烤盤，以抹刀抹平麵糊，放入烤箱以上火200℃／下火150℃烤至蛋糕表面上色約8∼10分鐘。
6. 6.打開烤箱拉出烤盤，重複作法5的作法至麵糊用完，最後一層麵糊烤熟。
7. 7.將烤熟的蛋糕置於涼架上待涼，切片後塗上適量奶油霜，2片相疊即為千層蛋糕。",,
C01-0760,【食譜】日式布丁:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0760,https://d3l76hx23vw40a.cloudfront.net/recipe/aa004-023a.jpg,【材　料】、A.砂糖:100公克、水:20公克、熱水:5公克、B.全蛋:3顆、蛋黃:2顆、鮮奶:500公克、砂糖:40公克、C.全脂牛奶:適量,"1. 1.材料A的砂糖、水放入鍋中以小火加熱煮至細砂糖溶解，繼續加熱直到糖水呈現琥珀色後熄火，再加熱水拌勻即為焦糖液。
2. 2.將焦糖液趁熱到入布丁杯中(約一到兩分滿)。
3. 3.先將250公克的鮮奶、砂糖混合煮到糖融化備用。
4. 4.將全蛋、蛋黃加入剩下的250公克牛奶攪拌均勻，然後作法3的牛奶倒入攪拌均勻後過篩，再倒入作法2的布丁杯中至約七分滿。
5. 5.在烤盤中注入溫水，將布丁杯放入烤盤中隔水烤焙，以上下火150℃烤約20至25分鐘，放涼後放入冰箱冷藏，食用前取出加入全脂牛奶即可。",,
C01-0745,【食譜】雞蛋糕(5):www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0745,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn086-014.jpg,【材　料】、A.全蛋:110公克、細砂糖:60公克、鹽:少許、B.低筋麵粉:100公克、泡打粉:4公克、奶粉:10公克、C.香草莢醬:4公克、牛奶:70公克、融化奶油:30公克,"1. 1.將材料A的所有材料用電動打蛋器以高速打發至呈濃稠狀。
2. 2.將材料B的所有材料過篩兩次後，加入作法1內拌勻。
3. 3.將香草莢醬和牛奶先拌勻後，再拌入作法2的麵糊中，續加入融化奶油拌勻，靜置30分鐘。
4. 4.將雞蛋糕模型在爐上預熱，以刷子塗上薄薄的油，再取適量作法3的麵糊倒入模中至八分滿，以中小火烘烤至表面產生的氣泡破裂，待雞蛋糕呈金黃色後，翻面烤至熟即可。",,
C01-0525,Ąi­čĂĐĄjłJȘŁ¶ș:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0525,https://d3l76hx23vw40a.cloudfront.net/recipe/bk183-008.jpg,,,,
C01-0792,【食譜】四季豆炒蛋:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0792,https://d3l76hx23vw40a.cloudfront.net/recipe/whk052-084b.jpg,【材　料】、四季豆:200公克、蛋:3顆、絞肉:50公克、沙拉油:適量、【調 味 料】、A.胡椒粉:少許 鹽 少許 B.米酒 15㏄ 雞粉 1/2小匙 鹽 少許 醬油 1小匙、鹽:少許 B.米酒 15㏄ 雞粉 1/2小匙 鹽 少許 醬油 1小匙、B.米酒:15㏄ 雞粉 1/2小匙 鹽 少許 醬油 1小匙、雞粉:1/2小匙 鹽 少許 醬油 1小匙、鹽:少許 醬油 1小匙、醬油:1小匙、,"1. 1.四季豆洗淨瀝乾，切去前後蒂頭，撕去兩旁的粗纖維，切成約1分的丁狀。
2. 2.蛋打入碗中，加入調味料A拌勻。
3. 3.熱鍋，加入適量沙拉油後，放入絞肉、調味料B拌炒至鬆散成白色粒狀，再放入作法1的四季豆丁和作法2的蛋液（若鍋中的油量不足，可再加一些），翻炒至蛋液成鬆散粒狀即可。",,
C01-0684,【食譜】水煮蛋沙拉:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0684,https://d3l76hx23vw40a.cloudfront.net/recipe/bk203-035.jpg,【材　料】、雞蛋:5顆、蒸熟馬鈴薯:100公克、巴西里末:少許、【調 味 料】、美奶滋:3大匙 黃芥末 1/3小匙 鹽 少許 白胡椒粉 少許、黃芥末:1/3小匙 鹽 少許 白胡椒粉 少許、鹽:少許 白胡椒粉 少許、白胡椒粉:少許、,"1. 1.將雞蛋沖洗乾淨，放入鍋中，加入少許鹽（份量外），倒入可淹蓋過雞蛋的水量，煮滾後再續煮10分鐘，撈起沖涼去殼，即為水煮蛋。
2. 2.將作法1的水煮蛋對半橫剖，取出蛋黃。
3. 3.將蒸熟的馬鈴薯趁熱搗成泥，加入作法2的蛋黃和調味料的所有材料混勻，再用細篩網過篩。
4. 4.將作法3的蛋黃薯泥填入作法2的水煮蛋白中，再撒上巴西里末裝飾即可。",,
C01-0600,【食譜】九層塔炒蛋:www.ytower.com.tw,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=C01-0600,https://d3l76hx23vw40a.cloudfront.net/recipe/yqn65-044a.jpg,【材　料】、九層塔:10公克、全蛋:3粒、【調 味 料】、鹽:少許 白胡椒粉 少許 香油 1小匙、白胡椒粉:少許 香油 1小匙、香油:1小匙、,"1. 1.將九層塔挑除梗，洗淨後切成碎狀備用。
2. 2.取一個容器打入全蛋、作法1的九層塔碎和所有調味料攪拌均勻。
3. 3.熱鍋，加入1大匙沙拉油，放入作法2的所有材料，以中火將蛋煎成二面呈金黃色。
4. 4.上桌前再切成小片狀即可。",,
